NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;QT_MAT_INF_CRE;QT_MAT_INF_CRE_INT;QT_MAT_BAS_0_3;QT_MAT_BAS_BRANCA;QT_MAT_BAS_PRETA;QT_MAT_BAS_PARDA;QT_MAT_BAS_AMARELA;QT_MAT_BAS_INDIGENA;QT_ESCOLAS;QT_ESC_FEDERAL;QT_ESC_ESTADUAL;QT_ESC_MUNICIPAL;QT_ESC_PRIVADA;QT_ESC_PUBLICA;QT_ESC_URBANA;QT_ESC_RURAL;POP_TOTAL;POP_0_4;RENDA_MEDIA_RESPONSAVEL;RENDA_MEDIANA_RESPONSAVEL;PIB;TOTAL_HOMENS;HOMENS_OCUPADOS;TOTAL_MULHERES;MULHERES_OCUPADAS;MULHERES_FILHOS_12_19;MULHERES_FILHOS_TOTAL;DOMICILIOS_TOTAL;DOM_SEM_CONJUGE_TOTAL;DOM_SEM_CONJUGE_HOMEM;DOM_SEM_CONJUGE_MULHER;IDH_PROP_POBREZA;IDH_PROP_POBREZA_CRIANCAS;IDH_PROP_VULNER_POBREZA;IDH_GINI;IDH_RENDA_PC;IDH_EXPECT_ANOS_ESTUDO;IDH_TAXA_FREQ_0_3;IDH_RAZAO_DEPENDENCIA;PERC_RENDA_TRABALHO;PERC_RENDA_OUTRAS_FONTES
2018;2100055;Açailândia;MA;1407.0;0.0;1235.0;3024.0;272.0;17011.0;28.0;12.0;114;1;16;79;18;96;75;39;111757.0;8181.0;1947.5;1212.0;2598977000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2019;2100055;Açailândia;MA;1549.0;0.0;1297.0;2955.0;267.0;16778.0;30.0;15.0;114;1;16;79;18;96;75;39;112445.0;8181.0;1947.5;1212.0;2354544000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2020;2100055;Açailândia;MA;1411.0;0.0;1150.0;2635.0;253.0;15419.0;33.0;14.0;114;1;16;79;18;96;75;39;113121.0;8181.0;1947.5;1212.0;2664608000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2021;2100055;Açailândia;MA;1257.0;124.0;1026.0;2306.0;255.0;13867.0;27.0;16.0;111;1;16;76;18;93;76;35;113783.0;8181.0;1947.5;1212.0;3828533000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2022;2100055;Açailândia;MA;1929.0;261.0;1692.0;2308.0;257.0;13311.0;18.0;18.0;115;1;16;77;21;94;80;35;106550.0;8181.0;1947.5;1212.0;4148953000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2023;2100055;Açailândia;MA;1954.0;337.0;1720.0;2218.0;280.0;12398.0;22.0;27.0;116;1;16;78;21;95;80;36;106550.0;8181.0;1947.5;1212.0;4274162000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2024;2100055;Açailândia;MA;2171.0;459.0;1934.0;3877.0;994.0;20823.0;84.0;52.0;108;1;16;72;19;89;75;33;110506.0;8181.0;1947.5;1212.0;4274162000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2025;2100055;Açailândia;MA;2245.0;539.0;1977.0;4036.0;967.0;20758.0;80.0;27.0;107;1;15;73;18;89;75;32;110611.0;8181.0;1947.5;1212.0;4274162000;40558;25625;42213;15803;446;29880;34410;5891;686;5205;25.17;36.65;53.86;0.56;438.56;9.34;8.16;55.43;78.53;21.47
2018;2100105;Afonso Cunha;MA;100.0;0.0;136.0;110.0;40.0;2420.0;8.0;0.0;24;0;1;23;0;24;5;19;6469.0;566.0;2108.75;1200.0;51330000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2019;2100105;Afonso Cunha;MA;68.0;0.0;85.0;107.0;40.0;2344.0;6.0;0.0;24;0;1;23;0;24;5;19;6524.0;566.0;2108.75;1200.0;52155000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2020;2100105;Afonso Cunha;MA;74.0;0.0;90.0;93.0;50.0;2254.0;8.0;0.0;24;0;1;23;0;24;5;19;6578.0;566.0;2108.75;1200.0;71866000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2021;2100105;Afonso Cunha;MA;144.0;0.0;177.0;125.0;67.0;2534.0;9.0;0.0;25;0;1;24;0;25;6;19;6631.0;566.0;2108.75;1200.0;85052000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2022;2100105;Afonso Cunha;MA;162.0;140.0;205.0;124.0;73.0;2849.0;7.0;1.0;25;0;1;24;0;25;6;19;6144.0;566.0;2108.75;1200.0;117493000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2023;2100105;Afonso Cunha;MA;160.0;19.0;191.0;127.0;73.0;2891.0;10.0;2.0;25;0;1;24;0;25;6;19;6144.0;566.0;2108.75;1200.0;105581000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2024;2100105;Afonso Cunha;MA;239.0;17.0;229.0;162.0;140.0;3119.0;6.0;6.0;25;0;1;24;0;25;6;19;6296.0;566.0;2108.75;1200.0;105581000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2025;2100105;Afonso Cunha;MA;246.0;19.0;228.0;136.0;138.0;2765.0;2.0;1.0;23;0;1;22;0;23;6;17;6303.0;566.0;2108.75;1200.0;105581000;2235;937;2208;609;61;1615;1703;253;41;212;66.8;78.75;82.32;0.59;149.78;8.62;11.28;74.96;56.58;43.42
2018;2100154;Água Doce do Maranhão;MA;198.0;0.0;164.0;289.0;58.0;2810.0;13.0;5.0;33;0;3;29;1;32;8;25;12488.0;933.0;1115.7;1200.0;85969000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2019;2100154;Água Doce do Maranhão;MA;213.0;0.0;180.0;270.0;58.0;2849.0;11.0;8.0;33;0;3;29;1;32;8;25;12571.0;933.0;1115.7;1200.0;84659000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2020;2100154;Água Doce do Maranhão;MA;183.0;0.0;156.0;273.0;54.0;2906.0;10.0;6.0;33;0;3;29;1;32;8;25;12652.0;933.0;1115.7;1200.0;89545000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2021;2100154;Água Doce do Maranhão;MA;165.0;0.0;145.0;266.0;41.0;2634.0;8.0;1.0;33;0;3;29;1;32;8;25;12731.0;933.0;1115.7;1200.0;101642000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2022;2100154;Água Doce do Maranhão;MA;199.0;0.0;175.0;277.0;45.0;2717.0;9.0;3.0;33;0;3;29;1;32;8;25;12142.0;933.0;1115.7;1200.0;120774000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2023;2100154;Água Doce do Maranhão;MA;207.0;0.0;175.0;265.0;35.0;2558.0;10.0;4.0;33;0;3;29;1;32;8;25;12142.0;933.0;1115.7;1200.0;130746000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2024;2100154;Água Doce do Maranhão;MA;175.0;0.0;165.0;380.0;86.0;2435.0;5.0;0.0;33;0;3;29;1;32;8;25;12446.0;933.0;1115.7;1200.0;130746000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2025;2100154;Água Doce do Maranhão;MA;204.0;1.0;190.0;402.0;79.0;2612.0;6.0;0.0;30;0;2;27;1;29;8;22;12461.0;933.0;1115.7;1200.0;130746000;4815;2279;4599;1433;78;3436;3546;475;82;393;59.52;71.85;79.64;0.59;172.55;8.07;20.27;65.18;54.74;45.26
2018;2100204;Alcântara;MA;200.0;0.0;172.0;292.0;182.0;3777.0;0.0;3.0;81;2;3;74;2;79;8;73;22083.0;1202.0;1169.58;1200.0;129607000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2019;2100204;Alcântara;MA;230.0;0.0;181.0;311.0;184.0;3730.0;3.0;3.0;82;2;3;75;2;80;8;74;22097.0;1202.0;1169.58;1200.0;125437000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2020;2100204;Alcântara;MA;173.0;9.0;143.0;312.0;222.0;3653.0;3.0;3.0;82;2;3;75;2;80;8;74;22112.0;1202.0;1169.58;1200.0;132194000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2021;2100204;Alcântara;MA;246.0;0.0;197.0;305.0;290.0;3777.0;1.0;2.0;82;2;3;75;2;80;8;74;22126.0;1202.0;1169.58;1200.0;148763000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2022;2100204;Alcântara;MA;251.0;0.0;208.0;273.0;280.0;3576.0;2.0;2.0;56;2;4;49;1;55;8;48;18467.0;1202.0;1169.58;1200.0;153680000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2023;2100204;Alcântara;MA;317.0;0.0;264.0;254.0;256.0;3351.0;2.0;3.0;58;2;4;51;1;57;11;47;18467.0;1202.0;1169.58;1200.0;170261000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2024;2100204;Alcântara;MA;296.0;20.0;260.0;247.0;252.0;3184.0;4.0;3.0;57;2;4;50;1;56;10;47;18774.0;1202.0;1169.58;1200.0;170261000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2025;2100204;Alcântara;MA;267.0;54.0;273.0;240.0;254.0;3019.0;7.0;0.0;44;2;2;40;0;44;7;37;18721.0;1202.0;1169.58;1200.0;170261000;7525;3174;7199;1886;105;4957;6290;1116;169;947;54.48;67.97;74.63;0.59;209.27;8.21;6.76;59.08;46.88;53.12
2018;2100303;Aldeias Altas;MA;684.0;0.0;595.0;326.0;144.0;5557.0;11.0;8.0;71;0;1;67;3;68;15;56;26302.0;2161.0;1112.05;1200.0;181015000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2019;2100303;Aldeias Altas;MA;680.0;0.0;587.0;264.0;136.0;5226.0;8.0;7.0;72;0;1;68;3;69;16;56;26532.0;2161.0;1112.05;1200.0;199063000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2020;2100303;Aldeias Altas;MA;545.0;0.0;495.0;231.0;183.0;4941.0;8.0;5.0;58;0;1;56;1;57;14;44;26757.0;2161.0;1112.05;1200.0;211250000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2021;2100303;Aldeias Altas;MA;646.0;0.0;594.0;273.0;194.0;5221.0;10.0;5.0;58;0;1;56;1;57;14;44;26979.0;2161.0;1112.05;1200.0;249396000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2022;2100303;Aldeias Altas;MA;677.0;6.0;614.0;237.0;183.0;4963.0;12.0;5.0;58;0;1;56;1;57;14;44;23286.0;2161.0;1112.05;1200.0;369370000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2023;2100303;Aldeias Altas;MA;1376.0;9.0;1324.0;241.0;207.0;4744.0;12.0;5.0;58;0;1;56;1;57;14;44;23286.0;2161.0;1112.05;1200.0;335246000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2024;2100303;Aldeias Altas;MA;773.0;122.0;705.0;535.0;422.0;7603.0;72.0;11.0;58;0;1;56;1;57;14;44;23782.0;2161.0;1112.05;1200.0;335246000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2025;2100303;Aldeias Altas;MA;713.0;175.0;651.0;524.0;438.0;7037.0;61.0;1.0;40;0;1;39;0;40;11;29;23776.0;2161.0;1112.05;1200.0;335246000;8378;3016;8620;1840;143;6042;6666;1244;139;1105;60.07;73.89;82.49;0.59;179.92;6.68;13.96;70.61;56.16;43.84
2018;2100402;Altamira do Maranhão;MA;185.0;0.0;263.0;95.0;40.0;2890.0;7.0;1.0;19;0;1;18;0;19;6;13;8066.0;506.0;1361.99;1200.0;56419000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2019;2100402;Altamira do Maranhão;MA;176.0;0.0;196.0;88.0;34.0;2663.0;7.0;0.0;18;0;1;17;0;18;6;12;8128.0;506.0;1361.99;1200.0;58607000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2020;2100402;Altamira do Maranhão;MA;157.0;0.0;149.0;70.0;27.0;2199.0;5.0;0.0;18;0;1;17;0;18;6;12;8189.0;506.0;1361.99;1200.0;61573000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2021;2100402;Altamira do Maranhão;MA;202.0;0.0;190.0;72.0;25.0;2085.0;6.0;1.0;17;0;1;16;0;17;6;11;8250.0;506.0;1361.99;1200.0;71512000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2022;2100402;Altamira do Maranhão;MA;177.0;2.0;160.0;67.0;29.0;2175.0;4.0;1.0;17;0;1;16;0;17;6;11;6447.0;506.0;1361.99;1200.0;79336000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2023;2100402;Altamira do Maranhão;MA;198.0;4.0;194.0;60.0;26.0;2124.0;6.0;0.0;17;0;1;16;0;17;6;11;6447.0;506.0;1361.99;1200.0;88343000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2024;2100402;Altamira do Maranhão;MA;170.0;29.0;156.0;40.0;17.0;1156.0;3.0;1.0;16;0;1;15;0;16;6;10;6565.0;506.0;1361.99;1200.0;88343000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2025;2100402;Altamira do Maranhão;MA;165.0;22.0;142.0;35.0;26.0;1501.0;4.0;0.0;16;0;1;15;0;16;6;10;6549.0;506.0;1361.99;1200.0;88343000;2572;1336;2495;678;47;1879;1951;262;36;226;55.51;64.4;80.55;0.52;164.24;8.75;25.59;64.12;56.95;43.05
2018;2100436;Alto Alegre do Maranhão;MA;381.0;0.0;586.0;595.0;81.0;5815.0;7.0;1.0;35;0;1;31;3;32;19;16;26839.0;1966.0;1197.25;1100.0;268639000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2019;2100436;Alto Alegre do Maranhão;MA;474.0;0.0;561.0;520.0;72.0;5639.0;8.0;2.0;35;0;1;31;3;32;19;16;27053.0;1966.0;1197.25;1100.0;262247000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2020;2100436;Alto Alegre do Maranhão;MA;508.0;0.0;520.0;467.0;79.0;5644.0;7.0;1.0;35;0;1;31;3;32;19;16;27858.0;1966.0;1197.25;1100.0;243765000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2021;2100436;Alto Alegre do Maranhão;MA;554.0;0.0;568.0;432.0;78.0;5317.0;8.0;4.0;35;0;1;31;3;32;19;16;28066.0;1966.0;1197.25;1100.0;303118000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2022;2100436;Alto Alegre do Maranhão;MA;631.0;0.0;447.0;383.0;75.0;4909.0;6.0;2.0;35;0;2;30;3;32;20;15;24048.0;1966.0;1197.25;1100.0;359926000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2023;2100436;Alto Alegre do Maranhão;MA;643.0;2.0;477.0;392.0;72.0;4784.0;4.0;1.0;34;0;2;29;3;31;20;14;24048.0;1966.0;1197.25;1100.0;378314000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2024;2100436;Alto Alegre do Maranhão;MA;571.0;30.0;501.0;396.0;74.0;4709.0;5.0;1.0;33;0;2;28;3;30;20;13;24543.0;1966.0;1197.25;1100.0;378314000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2025;2100436;Alto Alegre do Maranhão;MA;602.0;67.0;540.0;430.0;106.0;4492.0;4.0;0.0;32;0;2;28;2;30;19;13;24528.0;1966.0;1197.25;1100.0;378314000;8884;4767;9447;3229;180;6860;7548;1540;156;1384;50.64;63.55;75.95;0.51;198.43;8.64;14.75;62.93;63.75;36.25
2018;2100477;Alto Alegre do Pindaré;MA;981.0;0.0;978.0;786.0;212.0;8620.0;13.0;23.0;74;0;8;65;1;73;11;63;31894.0;2214.0;1300.0;1200.0;190348000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2019;2100477;Alto Alegre do Pindaré;MA;1039.0;0.0;1044.0;750.0;185.0;8236.0;13.0;18.0;68;0;8;59;1;67;11;57;31919.0;2214.0;1300.0;1200.0;205207000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2020;2100477;Alto Alegre do Pindaré;MA;892.0;0.0;901.0;691.0;157.0;7845.0;11.0;21.0;67;0;8;58;1;66;12;55;31943.0;2214.0;1300.0;1200.0;230379000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2021;2100477;Alto Alegre do Pindaré;MA;1033.0;0.0;964.0;656.0;130.0;7481.0;8.0;21.0;67;0;8;58;1;66;12;55;31967.0;2214.0;1300.0;1200.0;251719000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2022;2100477;Alto Alegre do Pindaré;MA;1008.0;208.0;961.0;693.0;143.0;7688.0;3.0;12.0;68;0;9;58;1;67;13;55;25710.0;2214.0;1300.0;1200.0;282348000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2023;2100477;Alto Alegre do Pindaré;MA;1041.0;7.0;965.0;655.0;138.0;7273.0;2.0;17.0;68;0;9;58;1;67;13;55;25710.0;2214.0;1300.0;1200.0;310142000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2024;2100477;Alto Alegre do Pindaré;MA;1091.0;103.0;1009.0;656.0;143.0;7134.0;5.0;21.0;69;0;9;59;1;68;13;56;26411.0;2214.0;1300.0;1200.0;310142000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2025;2100477;Alto Alegre do Pindaré;MA;1020.0;184.0;936.0;717.0;157.0;7326.0;2.0;24.0;68;0;9;58;1;67;14;54;26321.0;2214.0;1300.0;1200.0;310142000;9647;3823;9499;2590;260;7083;7448;1174;164;1010;64.61;76.49;86.17;0.57;144.91;9.8;24.82;72.95;55.61;44.39
2018;2100501;Alto Parnaíba;MA;46.0;0.0;50.0;281.0;15.0;1500.0;2.0;0.0;46;0;1;43;2;44;8;38;11168.0;886.0;1662.5;1212.0;349328000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2019;2100501;Alto Parnaíba;MA;71.0;0.0;67.0;269.0;16.0;1358.0;2.0;0.0;43;0;1;40;2;41;8;35;11190.0;886.0;1662.5;1212.0;338856000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2020;2100501;Alto Parnaíba;MA;71.0;0.0;59.0;227.0;13.0;1196.0;2.0;0.0;43;0;1;40;2;41;8;35;11212.0;886.0;1662.5;1212.0;492109000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2021;2100501;Alto Parnaíba;MA;12.0;0.0;8.0;194.0;6.0;1085.0;2.0;0.0;43;0;1;41;1;42;7;36;11233.0;886.0;1662.5;1212.0;578961000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2022;2100501;Alto Parnaíba;MA;17.0;0.0;20.0;143.0;5.0;1148.0;3.0;0.0;39;0;1;37;1;38;7;32;11109.0;886.0;1662.5;1212.0;787087000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2023;2100501;Alto Parnaíba;MA;5.0;0.0;41.0;92.0;4.0;1247.0;5.0;0.0;41;0;1;39;1;40;7;34;11109.0;886.0;1662.5;1212.0;573769000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2024;2100501;Alto Parnaíba;MA;54.0;0.0;46.0;83.0;35.0;1284.0;13.0;2.0;41;0;1;39;1;40;7;34;11382.0;886.0;1662.5;1212.0;573769000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2025;2100501;Alto Parnaíba;MA;286.0;84.0;259.0;172.0;40.0;2178.0;9.0;0.0;29;0;1;28;0;29;6;23;11392.0;886.0;1662.5;1212.0;573769000;4408;2427;4061;1623;75;2887;3427;630;95;535;43.32;54.81;67.03;0.78;559.61;9.58;11.04;66.04;69.52;30.48
2018;2100550;Amapá do Maranhão;MA;128.0;0.0;196.0;242.0;22.0;1222.0;3.0;1.0;24;0;1;19;4;20;13;11;6918.0;645.0;1141.56;1200.0;51419000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2019;2100550;Amapá do Maranhão;MA;150.0;0.0;159.0;217.0;28.0;1194.0;3.0;1.0;24;0;1;19;4;20;13;11;6962.0;645.0;1141.56;1200.0;51820000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2020;2100550;Amapá do Maranhão;MA;176.0;0.0;163.0;211.0;19.0;1316.0;1.0;1.0;24;0;1;19;4;20;13;11;7005.0;645.0;1141.56;1200.0;54956000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2021;2100550;Amapá do Maranhão;MA;179.0;0.0;167.0;167.0;11.0;1124.0;1.0;1.0;23;0;1;19;3;20;12;11;7047.0;645.0;1141.56;1200.0;70198000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2022;2100550;Amapá do Maranhão;MA;312.0;1.0;269.0;161.0;21.0;1283.0;2.0;1.0;23;0;1;19;3;20;12;11;7170.0;645.0;1141.56;1200.0;77337000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2023;2100550;Amapá do Maranhão;MA;254.0;0.0;242.0;146.0;26.0;1270.0;1.0;1.0;23;0;1;19;3;20;12;11;7170.0;645.0;1141.56;1200.0;95026000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2024;2100550;Amapá do Maranhão;MA;230.0;2.0;209.0;145.0;24.0;1125.0;0.0;2.0;23;0;1;19;3;20;12;11;7364.0;645.0;1141.56;1200.0;95026000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2025;2100550;Amapá do Maranhão;MA;249.0;2.0;237.0;195.0;55.0;1351.0;0.0;0.0;17;0;1;16;0;17;8;9;7380.0;645.0;1141.56;1200.0;95026000;2703;1026;2570;535;49;1917;2025;329;63;266;58.52;68.65;80.3;0.57;182.63;8.36;18.47;73.9;50.68;49.32
2018;2100600;Amarante do Maranhão;MA;439.0;0.0;502.0;808.0;116.0;6933.0;16.0;1787.0;136;0;44;88;4;132;15;121;41136.0;3797.0;1376.69;1200.0;313670000;13656;5616;12858;3236;569;9596;10859;1522;242;1280;50.0;61.2;75.78;0.59;231.79;8.21;10.32;76.4;55.57;44.43
2019;2100600;Amarante do Maranhão;MA;563.0;1.0;572.0;735.0;116.0;7057.0;19.0;1714.0;136;0;44;88;4;132;15;121;41435.0;3797.0;1376.69;1200.0;305979000;13656;5616;12858;3236;569;9596;10859;1522;242;1280;50.0;61.2;75.78;0.59;231.79;8.21;10.32;76.4;55.57;44.43
2020;2100600;Amarante do Maranhão;MA;474.0;6.0;497.0;627.0;104.0;6388.0;16.0;1471.0;136;0;44;88;4;132;15;121;41729.0;3797.0;1376.69;1200.0;335205000;13656;5616;12858;3236;569;9596;10859;1522;242;1280;50.0;61.2;75.78;0.59;231.79;8.21;10.32;76.4;55.57;44.43
